"game","title"
"http://dbpedia.org/resource/Malarkey_(board_game)","Malarkey"
"http://dbpedia.org/resource/Paths_of_Glory_(board_game)","Paths of Glory"
"http://dbpedia.org/resource/Las_Vegas_(board_game)","Las Vegas"
"http://dbpedia.org/resource/1000_Blank_White_Cards","1000 Blank White Cards"
"http://dbpedia.org/resource/Janggi","Janggi"
"http://dbpedia.org/resource/Ender's_Game_(film)__Ender's_Game_Battle_School__1","Ender's Game Battle School"
"http://dbpedia.org/resource/Four-player_chess","Four-player chess"
"http://dbpedia.org/resource/Afrikan_tähti","Afrikan tähti"
"http://dbpedia.org/resource/Al-Qadim","Al-Qadim"
"http://dbpedia.org/resource/Atlantis_(role-playing_game)","Arcanum"
"http://dbpedia.org/resource/Chainmail_(game)","Chainmail"
"http://dbpedia.org/resource/Erdor","Erdor"
"http://dbpedia.org/resource/Fantasy_Warlord","Fantasy Warlord"
"http://dbpedia.org/resource/Freedom_City","Freedom City"
"http://dbpedia.org/resource/GURPS_Prime_Directive","GURPS Prime Directive"
"http://dbpedia.org/resource/GURPS_Witch_World","GURPS Witch World"
"http://dbpedia.org/resource/Kindred_of_the_Ebony_Kingdom","Kindred of the Ebony Kingdom"
"http://dbpedia.org/resource/Löwenherz","Löwenherz"
"http://dbpedia.org/resource/MechWarrior:_Dark_Age","MechWarrior: Dark Age"
"http://dbpedia.org/resource/Mechamorphosis","Mechamorphosis"
"http://dbpedia.org/resource/Silver_Age_Sentinels","Silver Age Sentinels"
"http://dbpedia.org/resource/Sky_Galleons_of_Mars","Sky Galleons of Mars"
"http://dbpedia.org/resource/Stargate_SG-1_(roleplaying_game)","Stargate SG-1"
"http://dbpedia.org/resource/World_in_Flames","World in Flames"
"http://dbpedia.org/resource/World_in_Flames","Matrix Games World in Flames"
"http://dbpedia.org/resource/Norway_1985","Norway 1985"
"http://dbpedia.org/resource/Philosophy_shogi_checkers","Philosophy shogi checkers"
"http://dbpedia.org/resource/Coan_ki","Çoan ki"
"http://dbpedia.org/resource/Novus_(role-playing_game)","Novus Fantasy Roleplaying Game"
"http://dbpedia.org/resource/Zombie_Dice","Zombie Dice"
"http://dbpedia.org/resource/Brigada_Ligeira_Estelar","Brigada Ligeira Estelar"
"http://dbpedia.org/resource/Enchanted_Palace","Enchanted Palace"
"http://dbpedia.org/resource/Fire-Brigade:_The_Battle_for_Kiev_-_1943","Fire-Brigade"
"http://dbpedia.org/resource/Fire-Brigade:_The_Battle_for_Kiev_-_1943","The Battle for Kiev - 1943"
"http://dbpedia.org/resource/Marvel_Heroic_Roleplaying","Marvel Heroic Roleplaying"
"http://dbpedia.org/resource/Stop_Thief","Stop Thief"
"http://dbpedia.org/resource/13th_Age","13th Age"
"http://dbpedia.org/resource/Do:_Pilgrims_of_the_Flying_Temple","Do: Pilgrims of the Flying Temple"
"http://dbpedia.org/resource/Gyan_chauper","Gyan Chauper"
"http://dbpedia.org/resource/Leverage:_The_Roleplaying_Game","Leverage: The Roleplaying Game"
"http://dbpedia.org/resource/Mascarade","Mascarade"
"http://dbpedia.org/resource/Mouse_Guard_Roleplaying_Game","Mouse Guard Roleplaying Game"
"http://dbpedia.org/resource/Smallville_Roleplaying_Game","Smallville"
"http://dbpedia.org/resource/Battle_of_the_Bulge_(video_game)","Battle of the Bulge"
"http://dbpedia.org/resource/Hillfolk","Hillfolk"
"http://dbpedia.org/resource/Judge_Dredd:_The_Role-Playing_Game","Judge Dredd: The Role-Playing Game"
"http://dbpedia.org/resource/Aliens_Adventure_Game","Aliens Adventure Game"
"http://dbpedia.org/resource/Battle_Sheep","Battle Sheep"
"http://dbpedia.org/resource/Bungees","Bungees"
"http://dbpedia.org/resource/Gambler_(board_game)","Gambler"
"http://dbpedia.org/resource/Stalking_the_Night_Fantastic","Bureau 13"
"http://dbpedia.org/resource/Biscuit_(game)","Biscuit"
"http://dbpedia.org/resource/Fresco_(board_game)","Fresco"
"http://dbpedia.org/resource/GURPS_Cabal","GURPS Cabal"
"http://dbpedia.org/resource/Game_Designers'_Workshop","Game Designers' Workshop"
"http://dbpedia.org/resource/Infinity_(wargame)","Infinity the Game"
"http://dbpedia.org/resource/Orient_Express_(board_game)","Orient Express"
"http://dbpedia.org/resource/Outpost_(board_game)","Outpost"
"http://dbpedia.org/resource/Recon_(role-playing_game)","Recon"
"http://dbpedia.org/resource/Recon_(role-playing_game)","The Revised RECON"
"http://dbpedia.org/resource/Warhammer_40,000:_Rogue_Trader","Warhammer 40,000"
"http://dbpedia.org/resource/Icar","Icar"
"http://dbpedia.org/resource/Star_Wars_PocketModel_Trading_Card_Game","Star Wars PocketModel TCG"
"http://dbpedia.org/resource/Bookchase","Bookchase"
"http://dbpedia.org/resource/Burning_Empires_(role-playing_game)","Burning Empires"
"http://dbpedia.org/resource/CityTech","CityTech"
"http://dbpedia.org/resource/Cyberspace_(role-playing_game)","Cyberspace"
"http://dbpedia.org/resource/Farscape_(role-playing_game)","Farscape Roleplaying Game"
"http://dbpedia.org/resource/Galactic_Empires","Galactic Empires"
"http://dbpedia.org/resource/Grey_Ranks_(role-playing_game)","Grey Ranks"
"http://dbpedia.org/resource/Humans_vs._Zombies","Humans vs. Zombies"
"http://dbpedia.org/resource/Massive_Assault","Massive Assault"
"http://dbpedia.org/resource/Russian_draughts","Russian draughts"
"http://dbpedia.org/resource/The_Game_(dice_game)","The Game"
"http://dbpedia.org/resource/Fate_of_the_Norns","Fate of the Norns"
"http://dbpedia.org/resource/Atmosfear:_The_Gatekeeper","Atmosfear: The Gatekeeper"
"http://dbpedia.org/resource/CirKis","CirKis"
"http://dbpedia.org/resource/Day_Dreamer_Interactive","Day Dreamer Interactive"
"http://dbpedia.org/resource/Diplomacy_(game)","Diplomacy"
"http://dbpedia.org/resource/Eden:_the_Deceit","Eden"
"http://dbpedia.org/resource/Fanhunter,_el_juego_de_rol_épicodecadente","Fanhunter"
"http://dbpedia.org/resource/Sine_Requie","Sine Requie"
"http://dbpedia.org/resource/Aksharit","Aksharit"
"http://dbpedia.org/resource/Atmosfear:_Khufu_the_Mummy","Atmosfear: Khufu the Mummy"
"http://dbpedia.org/resource/Command_Ops:_Battles_from_the_Bulge","Battles from the Bulge"
"http://dbpedia.org/resource/Command_Ops:_Battles_from_the_Bulge","Command Ops:"
"http://dbpedia.org/resource/Discworld:_Ankh-Morpork","Discworld: Ankh-Morpork"
"http://dbpedia.org/resource/East_vs._West_–_A_Hearts_of_Iron_Game","East vs. West – A Hearts of Iron Game"
"http://dbpedia.org/resource/EuroShogi","EuroShogi"
"http://dbpedia.org/resource/Kolejka_(game)","Kolejka (Polish)"
"http://dbpedia.org/resource/Kolejka_(game)","Queue (English)"
"http://dbpedia.org/resource/Morton's_List","Morton's List"
